Time(sec)	Motor[9].ActPos	Motor[9].DesPos	Motor[9].iqcmd	Time(sec)	Motor[9] Act Position	Motor[9] Cmd Position	Motor[9] Act Velocity	Motor[9] Cmd Velocity	Motor[9] Act Acceleration	Motor[9] Cmd Acceleration	Motor[9] Following Error	Motor[9] Servo Cmd Out	
823612688 	-0.000984851591056213 	0 	-5.1338696 	823612688 	-0.000984851591056213 	0 	-0.198364403331652 	0 	-15.2587890625 	0 	0.000984851591056213 	-5.1338696 	
823612698 	-0.00118321599438787 	0 	-4.9329853 	823612698 	-0.00118321599438787 	0 	-0.205993797862902 	0 	-15.2587890625 	0 	0.00118321599438787 	-4.9329853 	
823612708 	-0.00139683918678202 	0 	-5.1084809 	823612708 	-0.00139683918678202 	0 	0.00762940180720761 	0 	442.50518840272 	0 	0.00139683918678202 	-5.1084809 	
823612718 	-0.00116795719077345 	0 	-5.3727703 	823612718 	-0.00116795719077345 	0 	0.289917203190271 	0 	122.070414363407 	0 	0.00116795719077345 	-5.3727703 	
823612728 	-0.000817004780401476 	0 	-5.358788 	823612728 	-0.000817004780401476 	0 	0.549316799151711 	0 	396.728777559474 	0 	0.000817004780401476 	-5.358788 	
823612738 	-6.93235924700275E-05 	0 	-5.7338562 	823612738 	-6.93235924700275E-05 	0 	0.732422391592991 	0 	-30.5175926769152 	0 	6.93235924700275E-05 	-5.7338562 	
823612748 	0.000647840002784505 	0 	-5.8038459 	823612748 	0.000647840002784505 	0 	0.526428601006046 	0 	-381.469988496974 	0 	-0.000647840002784505 	-5.8038459 	
823612758 	0.000983533609542064 	0 	-5.725203 	823612758 	0.000983533609542064 	0 	0.244140799622983 	0 	-183.105614269152 	0 	-0.000983533609542064 	-5.725203 	
823612768 	0.00113612160203047 	0 	-5.6118917 	823612768 	0.00113612160203047 	0 	0.0610351999057457 	0 	-183.105585165322 	0 	-0.00113612160203047 	-5.6118917 	
823612778 	0.00110560400935356 	0 	-5.5385222 	823612778 	0.00110560400935356 	0 	-0.0915527998586185 	0 	-122.070414363407 	0 	-0.00110560400935356 	-5.5385222 	
823612788 	0.000953016002313234 	0 	-5.440165 	823612788 	0.000953016002313234 	0 	-0.358581797627267 	0 	-411.987581173889 	0 	-0.000953016002313234 	-5.440165 	
823612798 	0.000388440414099023 	0 	-5.1799545 	823612798 	0.000388440414099023 	0 	-0.64086959901033 	0 	-152.588021592237 	0 	-0.000388440414099023 	-5.1799545 	
823612808 	-0.000328723195707425 	0 	-5.0363941 	823612808 	-0.000328723195707425 	0 	-0.480652204714715 	0 	473.022810183465 	0 	0.000328723195707425 	-5.0363941 	
823612818 	-0.000572863995330408 	0 	-5.288672 	823612818 	-0.000572863995330408 	0 	-0.0762939962442033 	0 	335.693606757559 	0 	0.000572863995330408 	-5.288672 	
823612828 	-0.000481311188195832 	0 	-5.3789988 	823612828 	-0.000481311188195832 	0 	0.0686646017129533 	0 	-45.7764108432457 	0 	0.000481311188195832 	-5.3789988 	
823612838 	-0.000435534791904502 	0 	-5.3845963 	823612838 	-0.000435534791904502 	0 	0.129699801618699 	0 	167.846810654737 	0 	0.000435534791904502 	-5.3845963 	
823612848 	-0.000221911584958434 	0 	-5.5009732 	823612848 	-0.000221911584958434 	0 	0.312805394059978 	0 	198.364374227822 	0 	0.000221911584958434 	-5.5009732 	
823612858 	0.000190075996215455 	0 	-5.6595616 	823612858 	0.000190075996215455 	0 	0.419616997533012 	0 	15.2588327182457 	0 	-0.000190075996215455 	-5.6595616 	
823612868 	0.00061732241010759 	0 	-5.7483993 	823612868 	0.00061732241010759 	0 	0.350952410371974 	0 	-152.588007040322 	0 	-0.00061732241010759 	-5.7483993 	
823612878 	0.000891980816959403 	0 	-5.6571097 	823612878 	0.000891980816959403 	0 	0.0839233980514109 	0 	-381.470017600805 	0 	-0.000891980816959403 	-5.6571097 	
823612888 	0.000785169206210412 	0 	-5.4137573 	823612888 	0.000785169206210412 	0 	-0.335693606757559 	0 	-457.763992017135 	0 	-0.000785169206210412 	-5.4137573 	
823612898 	0.000220593603444286 	0 	-5.0760808 	823612898 	0.000220593603444286 	0 	-0.579834399104584 	0 	-30.5175926769152 	0 	-0.000220593603444286 	-5.0760808 	
823612908 	-0.000374499591998756 	0 	-5.1085949 	823612908 	-0.000374499591998756 	0 	-0.404358201194555 	0 	381.469988496974 	0 	0.000374499591998756 	-5.1085949 	
823612918 	-0.000588122798944823 	0 	-5.1382775 	823612918 	-0.000588122798944823 	0 	-0.350952403096017 	0 	-274.658392299898 	0 	0.000588122798944823 	-5.1382775 	
823612928 	-0.00107640439819079 	0 	-5.0337434 	823612928 	-0.00107640439819079 	0 	-0.22125259420136 	0 	534.058010089211 	0 	0.00107640439819079 	-5.0337434 	
823612938 	-0.00103062798734754 	0 	-5.2629128 	823612938 	-0.00103062798734754 	0 	0.297546604997478 	0 	503.540388308465 	0 	0.00103062798734754 	-5.2629128 	
823612948 	-0.000481311188195832 	0 	-5.5956349 	823612948 	-0.000481311188195832 	0 	0.625610795395914 	0 	152.587992488407 	0 	0.000481311188195832 	-5.5956349 	
823612958 	0.000220593603444286 	0 	-5.8115602 	823612958 	0.000220593603444286 	0 	0.671387198963203 	0 	-61.0351853538305 	0 	-0.000220593603444286 	-5.8115602 	
823612968 	0.000861463209730573 	0 	-5.8680124 	823612968 	0.000861463209730573 	0 	0.686646002577618 	0 	91.5527925826609 	0 	-0.000861463209730573 	-5.8680124 	
823612978 	0.00159388560859952 	0 	-6.0245867 	823612978 	0.00159388560859952 	0 	0.602722604526207 	0 	-259.399588685483 	0 	-0.00159388560859952 	-6.0245867 	
823612988 	0.00206690841878299 	0 	-5.9817591 	823612988 	0.00206690841878299 	0 	0.350952403096017 	0 	-244.140814174898 	0 	-0.00206690841878299 	-5.9817591 	
823612998 	0.00229579041479155 	0 	-6.0450597 	823612998 	0.00229579041479155 	0 	0.190734994248487 	0 	-76.2940035201609 	0 	-0.00229579041479155 	-6.0450597 	
823613008 	0.00244837840727996 	0 	-5.9420881 	823613008 	0.00244837840727996 	0 	-0.0762940035201609 	0 	-457.763992017135 	0 	-0.00244837840727996 	-5.9420881 	
823613018 	0.00214320240775123 	0 	-5.5945482 	823613018 	0.00214320240775123 	0 	-0.503540402860381 	0 	-396.728806663305 	0 	-0.00214320240775123 	-5.5945482 	
823613028 	0.0014412976015592 	0 	-5.4682612 	823613028 	0.0014412976015592 	0 	-0.770569400629029 	0 	-137.329188873991 	0 	-0.0014412976015592 	-5.4682612 	
823613038 	0.000602063606493175 	0 	-5.2319398 	823613038 	0.000602063606493175 	0 	-0.877381004102062 	0 	-76.2940180720761 	0 	-0.000602063606493175 	-5.2319398 	
823613048 	-0.000313464406644925 	0 	-4.9732919 	823613048 	-0.000313464406644925 	0 	-0.793457598774694 	0 	244.140828726813 	0 	0.000313464406644925 	-4.9732919 	
823613058 	-0.000984851591056213 	0 	-4.9097486 	823613058 	-0.000984851591056213 	0 	-0.419616990257055 	0 	503.540388308465 	0 	0.000984851591056213 	-4.9097486 	
823613068 	-0.00115269838715903 	0 	-5.248672 	823613068 	-0.00115269838715903 	0 	-0.0762939962442033 	0 	183.105599717237 	0 	0.00115269838715903 	-5.248672 	
823613078 	-0.00113743958354462 	0 	-5.3187962 	823613078 	-0.00113743958354462 	0 	0.0152587963384576 	0 	-1.45519152283669E-05 	0 	0.00113743958354462 	-5.3187962 	
823613088 	-0.00112218079448212 	0 	-5.2364788 	823613088 	-0.00112218079448212 	0 	0.190734994248487 	0 	350.952410371974 	0 	0.00112218079448212 	-5.2364788 	
823613098 	-0.000755969595047645 	0 	-5.5310292 	823613098 	-0.000755969595047645 	0 	0.495911001053173 	0 	259.399603237398 	0 	0.000755969595047645 	-5.5310292 	
823613108 	-0.000130358792375773 	0 	-5.7290955 	823613108 	-0.000130358792375773 	0 	0.488281606521923 	0 	-274.658392299898 	0 	0.000130358792375773 	-5.7290955 	
823613118 	0.000220593617996201 	0 	-5.6474619 	823613118 	0.000220593617996201 	0 	0.114440998004284 	0 	-473.022824735381 	0 	-0.000220593617996201 	-5.6474619 	
823613128 	9.85232036327943E-05 	0 	-5.2431717 	823613128 	9.85232036327943E-05 	0 	-0.381470010324847 	0 	-518.799191922881 	0 	-9.85232036327943E-05 	-5.2431717 	
823613138 	-0.000542346402653493 	0 	-4.8844137 	823613138 	-0.000542346402653493 	0 	-0.572205004573334 	0 	137.329203425907 	0 	0.000542346402653493 	-4.8844137 	
823613148 	-0.00104588680551387 	0 	-5.0819669 	823613148 	-0.00104588680551387 	0 	-0.389099397580139 	0 	228.882010560483 	0 	0.00104588680551387 	-5.0819669 	
823613158 	-0.00132054519781377 	0 	-5.0936441 	823613158 	-0.00132054519781377 	0 	-0.0991821943898685 	0 	350.952395820059 	0 	0.00132054519781377 	-5.0936441 	
823613168 	-0.00124425119429361 	0 	-5.1747055 	823613168 	-0.00124425119429361 	0 	0.0762940035201609 	0 	0 	0 	0.00124425119429361 	-5.1747055 	
823613178 	-0.00116795719077345 	0 	-5.1044855 	823613178 	-0.00116795719077345 	0 	-0.0762939962442033 	0 	-305.175999528728 	0 	0.00116795719077345 	-5.1044855 	
823613188 	-0.00139683918678202 	0 	-5.2769289 	823613188 	-0.00139683918678202 	0 	0.0915527998586185 	0 	640.869591734372 	0 	0.00139683918678202 	-5.2769289 	
823613198 	-0.000984851591056213 	0 	-5.5021925 	823613198 	-0.000984851591056213 	0 	0.549316799151711 	0 	274.658406851813 	0 	0.000984851591056213 	-5.5021925 	
823613208 	-0.000298205588478595 	0 	-5.4823265 	823613208 	-0.000298205588478595 	0 	0.518799199198838 	0 	-335.693606757559 	0 	0.000298205588478595 	-5.4823265 	
823613218 	5.27468073414639E-05 	0 	-5.475595 	823613218 	5.27468073414639E-05 	0 	0.114440998004284 	0 	-473.02279563155 	0 	-5.27468073414639E-05 	-5.475595 	
823613228 	-6.93235924700275E-05 	0 	-5.2986121 	823613228 	-6.93235924700275E-05 	0 	-0.267028997768648 	0 	-289.917195914313 	0 	6.93235924700275E-05 	-5.2986121 	
823613238 	-0.000481311188195832 	0 	-5.0613632 	823613238 	-0.000481311188195832 	0 	-0.335693606757559 	0 	152.587977936491 	0 	0.000481311188195832 	-5.0613632 	
823613248 	-0.000740710805985145 	0 	-5.080596 	823613248 	-0.000740710805985145 	0 	-0.190735001524445 	0 	137.329232529737 	0 	0.000740710805985145 	-5.080596 	
823613258 	-0.000862781191244721 	0 	-5.2022948 	823613258 	-0.000862781191244721 	0 	-0.205993797862902 	0 	-167.846825206652 	0 	0.000862781191244721 	-5.2022948 	
823613268 	-0.00115269840171095 	0 	-4.9836617 	823613268 	-0.00115269840171095 	0 	-0.259399603237398 	0 	61.0352144576609 	0 	0.00115269840171095 	-4.9836617 	
823613278 	-0.00138158039771952 	0 	-4.7751846 	823613278 	-0.00138158039771952 	0 	0.0381470090360381 	0 	534.058010089211 	0 	0.00138158039771952 	-4.7751846 	
823613288 	-0.00107640438363887 	0 	-5.5125332 	823613288 	-0.00107640438363887 	0 	0.595093202718999 	0 	579.834377276711 	0 	0.00107640438363887 	-5.5125332 	
823613298 	-0.000191393992281519 	0 	-5.9896646 	823613298 	-0.000191393992281519 	0 	0.724792989785783 	0 	-320.434803143144 	0 	0.000191393992281519 	-5.9896646 	
823613308 	0.000373181595932692 	0 	-5.6460309 	823613308 	0.000373181595932692 	0 	0.495911001053173 	0 	-137.329174322076 	0 	-0.000373181595932692 	-5.6460309 	
823613318 	0.000800428009824827 	0 	-5.431426 	823613318 	0.000800428009824827 	0 	0.343323001288809 	0 	-167.846825206652 	0 	-0.000800428009824827 	-5.431426 	
823613328 	0.00105982759851031 	0 	-5.7960939 	823613328 	0.00105982759851031 	0 	0.25939959596144 	0 	1.45519152283669E-05 	0 	-0.00105982759851031 	-5.7960939 	
823613338 	0.00131922720174771 	0 	-5.8573799 	823613338 	0.00131922720174771 	0 	0.205993797862902 	0 	-106.811610748991 	0 	-0.00131922720174771 	-5.8573799 	
823613348 	0.00147181519423611 	0 	-5.5180926 	823613348 	0.00147181519423611 	0 	-0.167846796102822 	0 	-640.869577182457 	0 	-0.00147181519423611 	-5.5180926 	
823613358 	0.000983533609542064 	0 	-5.2016196 	823613358 	0.000983533609542064 	0 	-0.709534200723283 	0 	-442.505232058465 	0 	-0.000983533609542064 	-5.2016196 	
823613368 	5.27467927895486E-05 	0 	-4.9431181 	823613368 	5.27467927895486E-05 	0 	-0.862122207763605 	0 	137.329217977822 	0 	-5.27467927895486E-05 	-4.9431181 	
823613378 	-0.000740710805985145 	0 	-5.0859594 	823613378 	-0.000740710805985145 	0 	-0.350952388544101 	0 	885.010420461185 	0 	0.000740710805985145 	-5.0859594 	
823613388 	-0.000649157984298654 	0 	-5.3271413 	823613388 	-0.000649157984298654 	0 	0.122070407087449 	0 	61.0351708019152 	0 	0.000649157984298654 	-5.3271413 	
823613398 	-0.000496569991810247 	0 	-5.2772455 	823613398 	-0.000496569991810247 	0 	0.0152587963384576 	0 	-274.658392299898 	0 	0.000496569991810247 	-5.2772455 	
823613408 	-0.000618640391621739 	0 	-5.4005561 	823613408 	-0.000618640391621739 	0 	0.0991821943898685 	0 	442.50518840272 	0 	0.000618640391621739 	-5.4005561 	
823613418 	-0.00029820560303051 	0 	-5.5370741 	823613418 	-0.00029820560303051 	0 	0.572205004573334 	0 	503.540431964211 	0 	0.00029820560303051 	-5.5370741 	
823613428 	0.000525769617524929 	0 	-5.9317102 	823613428 	0.000525769617524929 	0 	0.968933811236639 	0 	289.917181362398 	0 	-0.000525769617524929 	-5.9317102 	
823613438 	0.00163966201944277 	0 	-6.1636996 	823613438 	0.00163966201944277 	0 	0.671387191687245 	0 	-885.010420461185 	0 	-0.00163966201944277 	-6.1636996 	
823613448 	0.00186854400089942 	0 	-5.6902199 	823613448 	0.00186854400089942 	0 	-0.0152588108903728 	0 	-488.28158469405 	0 	-0.00186854400089942 	-5.6902199 	
823613458 	0.00160914439766202 	0 	-5.5759201 	823613458 	0.00160914439766202 	0 	-0.221252601477318 	0 	76.2940035201609 	0 	-0.00160914439766202 	-5.5759201 	
823613468 	0.00142603879794478 	0 	-5.5514274 	823613468 	0.00142603879794478 	0 	-0.190734994248487 	0 	-15.2587890625 	0 	-0.00142603879794478 	-5.5514274 	
823613478 	0.00122767440916505 	0 	-5.6747379 	823613478 	0.00122767440916505 	0 	-0.320434795867186 	0 	-244.140814174898 	0 	-0.00122767440916505 	-5.6747379 	
823613488 	0.000785169206210412 	0 	-5.2892952 	823613488 	0.000785169206210412 	0 	-0.686646002577618 	0 	-488.281599245965 	0 	-0.000785169206210412 	-5.2892952 	
823613498 	-0.000145617595990188 	0 	-4.8766313 	823613498 	-0.000145617595990188 	0 	-0.617981393588707 	0 	625.610817223787 	0 	0.000145617595990188 	-4.8766313 	
823613508 	-0.000450793580967002 	0 	-5.4989161 	823613508 	-0.000450793580967002 	0 	0.0686646017129533 	0 	747.681173379533 	0 	0.000450793580967002 	-5.4989161 	
823613518 	-8.28839256428182E-06 	0 	-5.7381692 	823613518 	-8.28839256428182E-06 	0 	0.373840593965724 	0 	-137.329188873991 	0 	8.28839256428182E-06 	-5.7381692 	
823613528 	0.000296887606964447 	0 	-5.571733 	823613528 	0.000296887606964447 	0 	0.0915527925826609 	0 	-427.246413892135 	0 	-0.000296887606964447 	-5.571733 	
823613538 	0.00017481719260104 	0 	-5.3206286 	823613538 	0.00017481719260104 	0 	-0.274658399575856 	0 	-305.175970424898 	0 	-0.00017481719260104 	-5.3206286 	
823613548 	-0.000252429192187265 	0 	-5.1584654 	823613548 	-0.000252429192187265 	0 	-0.366211192158517 	0 	122.070385259576 	0 	0.000252429192187265 	-5.1584654 	
823613558 	-0.000557605191715993 	0 	-5.2465582 	823613558 	-0.000557605191715993 	0 	-0.442505202954635 	0 	-274.658406851813 	0 	0.000557605191715993 	-5.2465582 	
823613568 	-0.00113743959809653 	0 	-4.8948927 	823613568 	-0.00113743959809653 	0 	-0.503540402860381 	0 	152.588007040322 	0 	0.00113743959809653 	-4.8948927 	
823613578 	-0.00156468599743675 	0 	-4.9508076 	823613578 	-0.00156468599743675 	0 	-0.244140799622983 	0 	366.211199434474 	0 	0.00156468599743675 	-4.9508076 	
823613588 	-0.0016257211973425 	0 	-5.0784025 	823613588 	-0.0016257211973425 	0 	0.0534058053744957 	0 	228.882010560483 	0 	0.0016257211973425 	-5.0784025 	
